url,title,description,urlToImage,date
https://www.cnbc.com/2019/04/24/tesla-cfo-zach-kirkhorn-says-profitability-not-likely-until-q3-of-2019.html,Tesla braces investors for another quarter in the red - CNBC,Tesla braces investors for another quarter in the red,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/03/07/105780186-1551966299547rtx6p9u1.1910x1000.jpg,2019_04_25
https://electrek.co/2019/04/24/tesla-promise-35k-model-3-claims-few-ordering/,"Tesla promises to keep selling $35k Model 3, though claims few are ordering it - Electrek","Two weeks ago, Tesla removed the $35k Model 3 from their website, making it an “off-menu” item.  When asked, they couldn’t answer how long the model would be available – cau…",https://electrek.co/wp-content/uploads/sites/3/2019/04/Screen-Shot-2019-04-11-at-7.46.11-PM.jpg?quality=82&strip=all&w=1600,2019_04_25
https://www.cnn.com/2019/04/24/health/salmonella-outbreak-melon-recall-caito-foods-trnd/index.html,Salmonella outbreak linked to precut melons sickens 117 people in 10 states - CNN,"A salmonella outbreak linked to precut melon has affected 117 people in 10 states, the Centers for Disease Control and Prevention said Wednesday.",https://cdn.cnn.com/cnnnext/dam/assets/180608165147-cut-melon-super-tease.jpg,2019_04_25
https://www.cnbc.com/2019/04/24/dominos-ceo-we-need-25000-stores-by-2025-to-reach-our-goals.html,"Domino's CEO: We need 25,000 stores by 2025 to accomplish our objectives - CNBC","""It's all part of our strategy to fortress the markets that we operate in, which brings a lot of benefits,"" CEO Ritch Allison says.",https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/02/21/105753596-1550777806574img_3553.1910x1000.jpg,2019_04_25
https://www.cnn.com/business/live-news/stock-market-news-today-042419/h_715ceeccddfc9249489755f24f117e7f,What's moving markets today: Live updates - CNN,"Don't read too much into the flat stock market today, cautioned Jonathan Corpina, senior managing partner at Meridian Equity Partners, on CNN Business' Markets Now live show.",https://dynaimage.cdn.cnn.com/cnn/digital-images/org/c9bb836c-9d05-4b4a-8bb7-4e9e90235ae6.jpg,2019_04_25
https://www.cnn.com/2019/04/24/investing/tesla-earnings-loss/index.html,"Tesla lost $702 million last quarter, snapping its profit streak - CNN",Tesla's profit streak is over. Big time.,https://cdn.cnn.com/cnnnext/dam/assets/190424135450-tesla-earnings-1-super-tease.jpg,2019_04_25
https://www.theverge.com/2019/4/24/18514955/facebook-stories-500-million-monthly-users-advertising-instagram-snapchat,Facebook Stories somehow hits 500 million daily users - The Verge,"Somehow, defying all expectations, people are using Facebook Stories. And not just a few people, but a lot — more than 500 million every day. The new metric is the first time Facebook says its Stories product, which it initially ripped from Snapchat and deplo…",https://cdn.vox-cdn.com/thumbor/wlCRvA45ZU2vgWb5WzfY35R0X8w=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10454929/mdoying_180118_2249_facebook_0562stills.jpg,2019_04_25
https://www.cnbc.com/2019/04/24/venmo-has-40-million-users-paypal-reveals-for-first-time.html,"Venmo has 40 million users, PayPal reveals for first time - CNBC","Popular payment app Venmo has ushered in 40 million users to its platform, its parent company PayPal announced on Wednesday.",https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/04/23/105867776-1556072062752screenshot2019-04-23at10.13.56pm.1910x1000.png,2019_04_25
https://arstechnica.com/information-technology/2019/04/att-says-5g-will-be-priced-like-home-internet-pay-more-for-faster-speeds/,AT&T says 5G will be priced like home Internet—pay more for faster speeds - Ars Technica,"Users ""are willing to pay a premium"" for 500Mbps or 1Gbps, AT&T CEO says.",https://cdn.arstechnica.net/wp-content/uploads/2014/11/randall-stephenson-640x215.jpg,2019_04_25
https://www.engadget.com/2019/04/24/microsoft-q3-earnings-azure-cloud/,Microsoft's cloud business can't be stopped - Engadget,Microsoft's Azure cloud is unstoppable (and its PC business is still going strong too).,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D4938%252C2587%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C838%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-04%252F30ff2c00-66d4-11e9-bff9-2632d012f06b%26client%3Da1acac3e1b3290917d92%26signature%3Dcce989ced07dce1245af30c8b8316242908401dd&client=amp-blogside-v2&signature=bf516db74fc3de51d74192f19470ab081438aae0,2019_04_25
