url,title,description,urlToImage
https://www.wraltechwire.com/2019/04/27/union-amazons-one-day-delivery-push-could-put-workers-lives-in-jeopardy/,Union: Amazon's one-day delivery push could 'put worker's lives in jeopardy' - WRAL Tech Wire,Amazon wants to turn its famous two-day delivery into just one-day on most Prime orders. But can warehouse workers handle it?,https://www.wraltechwire.com/wp-content/uploads/2018/11/amazon-warehouse-worker.jpg
https://cleantechnica.com/2019/04/27/tesla-shanghai-gigafactory-on-track-to-produce-cars-as-early-as-september/,Tesla Shanghai Gigafactory On Track To Produce Cars As Early As September - CleanTechnica,"Tesla's Gigafactory 3 in Shanghai, China, is on track to roll the first Model 3 off the production lines in September of this year. Tencent News reported on the matter, noting that September was the target timing, but the new factory would be churning out car…",https://cleantechnica.com/files/2019/04/Shanghai-Gigafactory-Roofs-Go-Up.jpg
http://katu.com/news/local/as-companies-roll-out-e-scooters-again-in-portland-former-rider-warns-of-dangers,"As companies roll out e-scooters again in Portland, former rider warns of dangers - KATU","E-scooters were re-introduced to Portland Friday as part of a one-year pilot program.  Seven companies will be part of the program to help the Portland Bureau of Transportation determine if electronic scooters will remain in the city permanently.  This time, …",http://static-18.sinclairstoryline.com/resources/media/fa574be3-92de-4cc4-a474-43e40d9a3bc1-large16x9_AdeleHughesHromcocap.jpg?1556338261625
https://dailyhodl.com/2019/04/26/crypto-insiders-weigh-in-on-the-tether-usdt-debacle-as-accused-exchange-moves-20-of-bitcoin-btc-trading-volume/,Crypto Insiders Weigh in on the Tether (USDT) Debacle As Accused Exchange Moves 20% of Bitcoin (BTC) Trading Volume - The Daily Hodl,"As the cryptocurrency market reacts to a 23-page report released by the New York Attorney General’s Office, alleging that digital asset trading platform Bitfinex has committed egregious fraud, crypto insiders are weighing in on whether or not the manner in wh…",https://abs.twimg.com/emoji/v2/72x72/1f446.png
https://www.phonearena.com/news/AT-T-might-base-5G-pricing-on-data-speeds_id115626,"AT&T's future 5G pricing plan: the faster you go, the more you pay - Phone Arena","AT&T CEO Randall Stephenson says that eventually, pricing for the service could be based on the data speed chosen by the subscriber. This type of pricing structure could still be a few years away f...",https://i-cdn.phonearena.com/images/article/115626-two_lead/AT-Ts-future-5G-pricing-plan-the-faster-you-go-the-more-you-pay.jpg
https://www.usatoday.com/story/money/2019/04/26/e-coli-outbreak-177-people-reported-ill-tainted-ground-beef/3594198002/,E. coli outbreak grows with 177 people now reported sick from ground beef - USA TODAY,"Since the beginning of March, 177 people in 10 states have been infected with the strain of Escherichia coli O103.",https://www.gannett-cdn.com/-mm-/b2b05a4ab25f4fca0316459e1c7404c537a89702/c=0-0-1365-768/local/-/media/2018/11/21/USATODAY/usatsports/ground-beef-hudson-foods.jpg?width=3200&height=1680&fit=crop
https://www.youtube.com/watch?v=43m-l7RH9xM,PepsiCo sues Indian farmers over 'exclusive' Lays potatoes - CNN,"PepsiCo is suing four farmers in India, accusing them of growing a type of potato it says is exclusive to Lays chips. CNN's Zain Asher discusses the lawsuit,...",https://i.ytimg.com/vi/43m-l7RH9xM/maxresdefault.jpg
https://www.washingtonpost.com/business/economy/us-economy-feels-like-the-1990s-with-more-inequality-less-readiness-for-a-downturn/2019/04/26/d47c928c-6846-11e9-8985-4cf30147bdca_story.html,"U.S. economy feels like the 1990s, but with more inequality, less readiness for a downturn - The Washington Post","Strong first- quarter GDP delivers boost for Trump, but it may not last.",https://www.washingtonpost.com/resizer/LsBdR1Znu_rTn2Okf9Lpr7Lo838=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/VUCQLJCUFAI6TKUDKBHQQ27V2Y.jpg
https://seekingalpha.com/article/4257351-case-melt,The Case For A Melt-Up - Seeking Alpha,Another week of gains for US stocks raises familiar questions about whether a rally that has equities up an astounding 17% YTD can possibly run further. Althoug,https://static.seekingalpha.com/uploads/2019/4/26/47439673-15563083419678848.png
https://www.washingtonpost.com/nation/2019/04/27/inside-story-man-who-fought-police-over-hash-brown-won/,This man went to court to prove his ‘cellphone’ was a hash brown. He won. - The Washington Post,Jason Stiber was pulled over for talking on his cellphone. He hired a lawyer to prove it was a hash brown.,https://www.washingtonpost.com/resizer/eBA7Z098NYnfKhv4VUUtT5bRogg=/1484x0/arc-anglerfish-washpost-prod-washpost.s3.amazonaws.com/public/U3B6PJBZIQI6TMIL6BNCFZ2YMU.jpg
https://techcrunch.com/2019/04/26/equity-shot-ubers-ipo-terms-and-slacks-s-1/,Equity Shot: Uber’s IPO terms and Slack’s S-1 - TechCrunch,"Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast, where we unpack the numbers behind the headlines.",https://techcrunch.com/wp-content/uploads/2019/04/tc-equity-podcast-ios-2-1-3.jpg?w=712
https://seekingalpha.com/article/4257322-market-wrong-occidental-bid-anadarko,Why The Market Is Wrong On The Occidental Bid For Anadarko - Seeking Alpha,"After taking into account analyst and market responses, it seems the consensus is rather skeptical of the OXY bid. The market seems to put a higher probability",https://static2.seekingalpha.com/uploads/2019/4/24/saupload_31meHR2qzVV71mluixWZQcXZNZu3mLE1l7eR4qJE9gNIpzNTZWip4GO1Xrj_bUO3y9rSHhqAPEZD5jLWfaJCj2fxs9cYy2iKJZ8fAJzb0Y0OBwfrLzqUp6eD5P1Y-oRdLd37vlD5.png
https://www.barrons.com/articles/warren-buffett-berkshire-hathaway-annual-meeting-51556318055,Warren Buffett to Face Tough Questions at Berkshire Hathaway Annual Meeting - Barron's,Berkshire Hathaway CEO Warren Buffett needs to explain at the company’s annual meeting why he’s sitting on so much cash and repurchasing so little stock. Then there’s the matter of succession.,https://images.barrons.com/im-69890/social
https://www.nj.com/news/2019/04/infant-sleeping-rockers-sold-at-walmart-target-and-toys-r-us-being-recalled-after-5-deaths.html,"Kids II infant sleeping rockers sold at Walmart, Target and Toys R Us recalled after 5 deaths - NJ.com","Kids II said Friday that it is recalling nearly 700,000 rocking sleepers that were sold since 2012 at Walmart, Target and Toys R Us.",https://www.nj.com/resizer/ORB5zO8YW7kBHEj3gXK3HkgekJE=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/Q5OZZ2QPBFFJDOC4JSZ6RIOEXQ.jpg
https://finance.yahoo.com/news/chesapeake-energy-chk-outpaces-stock-214509491.html,Chesapeake Energy (CHK) Outpaces Stock Market Gains: What You Should Know - Yahoo Finance,"In the latest trading session, Chesapeake Energy (CHK) closed at $2.98, marking a +1.19% move from the previous day.",https://s.yimg.com/uu/api/res/1.2/cFv77ACp7ji3Ne9.tbVCjg--~B/aD02MDA7dz05MDA7c209MTthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en-us/zacks.com/ac90b3d74679f6d01a122aa033d8a9a4
https://www.cnbc.com/2019/04/26/ford-shares-rally-as-its-risky-bet-away-from-sedans-yields-results.html,Ford's earnings proved the automaker's risky bets are paying off — and investors are buying in - CNBC,"For the last several years it seemed like Ford could do nothing right, but despite a steep decline in first-quarter profits, investors are turning upbeat on the second-largest domestic automaker, sending Ford shares soaring past the $10 mark for the first tim…",https://image.cnbcfm.com/api/v1/image/104962021-GettyImages-904958954-ford.jpg?v=1556298555
https://patch.com/new-york/prospectheights/person-hit-train-brooklyns-7th-avenue-station-mta-says,"Person Hit By Train At Brooklyns 7th Avenue Station, MTA Says - Prospect Heights, NY Patch","A person was hit by a train at the Seventh Avenue station in Brooklyn Friday evening, the MTA said.",https://cdn20.patchcdn.com/users/22926829/20190426/053414/styles/T800x600/public/nyc-transit-alert.jpg
https://www.theverge.com/policy/2019/4/26/18518650/foxconn-wisconsin-factory-lcd-buildings-us,Foxconn in Wisconsin: will it ever happen? - The Verge,"In 2017, Foxconn announced plans to build a large LCD factory in Wisconsin that would bring 13,000 jobs to the US. Since then, the story has gotten complicated and confusing. We’re tracking the developments on Foxconn in Wisconsin.",https://cdn.vox-cdn.com/thumbor/vk3_kp96gDyUaaUx_krkG0lC3BM=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16017287/VRG_ILLO_3708_001.0.jpg
