url,title,description,urlToImage,date
https://www.cnn.com/2019/04/28/investing/stocks-week-ahead-earnings-recession/index.html,So much for the earnings recession - CNN,Corporate America's earnings recession might be over before it even began.,https://cdn.cnn.com/cnnnext/dam/assets/190131160436-01-stocks-dow-jones-wall-street-restricted-super-tease.jpg,2019-04-28
https://finance.yahoo.com/news/amazon-prime-oneday-shipping-is-money-wellspent-analysts-111713723.html,"Amazon Prime moving to one-day shipping is 'money well-spent,' say analysts - Yahoo Finance","Amazon Prime’s move from two-day to one-day shipping this year is a prudent move, even if it comes at a significant cost for the Seattle tech giant, say analysts.",https://s.yimg.com/uu/api/res/1.2/o0aZCp992dwbgA5Cqzla0A--~B/aD0zNjAwO3c9NTQwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/https://img.huffingtonpost.com/asset/5cc379bb2400003c0c524497.jpeg,2019-04-28
"https://www.tomsguide.com/us/facebook-privacy-problems,news-29944.html","If Facebook Wants Our Trust, Mark Zuckerberg Must Resign - Tom's Guide",Privacy figures to be a big topic of discussion at the upcoming Facebook F8 conference. But does Facebook have any credibility left after so many public blunders?,https://img.purch.com/o/aHR0cDovL21lZGlhLmJlc3RvZm1pY3JvLmNvbS9EL0cvODM1MTA4L29yaWdpbmFsL1RHX0ZhY2Vib29rX3p1Y2tlcmJ1cmdfc2h1dHRlcnN0b2NrLmpwZw==,2019-04-28
https://www.ft.com/content/9ba361de-6913-11e9-80c7-60ee53e6681d,Weak US inflation scrambles debate on Fed’s next rates move - Financial Times,Policymakers have opened the door to further easing if the data warrant it,https://www.ft.com/__origami/service/image/v2/images/raw/http%3A%2F%2Fprod-upp-image-read.ft.com%2F5f71e2e4-6927-11e9-9ff9-8c855179f1c4?source=next-opengraph&fit=scale-down&width=900,2019-04-28
https://coingape.com/how-new-york-ag-solid-case-against-bitfinex-quadrigacx/,Does NY Attorney General Have a Strong Case Against Bitfinex? New Reports Come To Light - Coingape,"Bitfinex and QuadrigaCX were the two biggest Exchange related issues that came to light his year. Post the obituary of QuadrigaCX CEO, Gerald Cotten, about [...]",https://cdn.coingape.com/wp-content/uploads/2019/04/28102125/bifinex-case.png,2019-04-28
https://www.bloomberg.com/news/articles/2019-04-28/is-this-a-market-melt-up-here-are-some-ways-to-tell-quicktake,Is This a Market Melt-Up? Here Are Some Ways to Tell - Bloomberg,,,2019-04-28
https://news.cgtn.com/news/3d3d514d79497a4d34457a6333566d54/index.html,Chinese Police busts 'fake Lego business' of 30 million USD - CGTN,"Chinese anti IP infringement law is not to be toyed with, a lesson that a gang of suspected counterfeiters may have learned after its millions of yuan business of making fake Lego was busted.",https://news.cgtn.com/news/3d3d514d79497a4d34457a6333566d54/img/0e571f9060f7411f87fc809781a51884/0e571f9060f7411f87fc809781a51884.jpg,2019-04-28
https://www.bloomberg.com/news/articles/2019-04-28/investors-brace-for-a-big-week-of-insights-into-world-economy,Investors Brace for a Big Week of Insights Into World Economy - Bloomberg,,,2019-04-28
https://cleantechnica.com/2019/04/27/tesla-model-3-thumps-bmw-m3-model-s-x-upgrade-tesla-death-anniversary-cleantechnica-top-20/,Tesla Model 3 Thumps BMW M3 ... Model S & X Upgrade ... Tesla Death Anniversary — #CleanTechnica Top 20 - CleanTechnica,"The most popular CleanTechnica stories of the past week included a Tesla Model 3 Performance thumping a BMW M3 on the track, some breaking news about a Tesla Model S & X upgrade from Tesla, our idea for a Tesla 11 Year Death Anniversary. For more, scroll past…",https://cleantechnica.com/files/2019/03/tesla-fremont-factory-tesla-model-3-body-parts-press-570x431.jpg,2019-04-28
https://news.abs-cbn.com/overseas/04/28/19/global-software-glitch-leaves-air-india-passengers-stranded,Global software 'glitch' leaves Air India passengers stranded - ABS-CBN News,"NEW DELHI, India - Thousands of Air India passengers were stranded at airports across the world Saturday, after a software ""glitch"" left those traveling with the state-run airline unable to check in, officials said.",https://sa.kapamilya.com/absnews/abscbnnews/media/2019/reuters/04/28/india.jpg,2019-04-28
