url,title,description,urlToImage,date
https://www.androidpolice.com/2019/04/26/google-thanos-and-watch-in-horror-as-half-your-search-results-go-up-in-dust/,Google 'Thanos' and watch in horror as half your search results go up in dust - Android Police,"Beside Game of Thrones, the most talked about topic these past few weeks has been Avengers: Endgame. While I've yet to see the movie, I am petrified at the thought of Thanos... The villain decimated half of the universe's population in one go at the end of In…",https://www.androidpolice.com/wp-content/uploads/2019/04/google-search-thanos-easter-egg.gif,2019-04-26
https://www.youtube.com/watch?v=W3WTrPvi-yY,Avengers: Endgame - Ending Explained (SPOILERS!) - IGN,Full spoilers! We break down the Marvel epic's finale and explain where it leaves the heroes of the MCU. Avengers: Endgame review: https://www.youtube.com/wa...,https://i.ytimg.com/vi/W3WTrPvi-yY/maxresdefault.jpg,2019-04-26
https://www.cheatsheet.com/entertainment/how-long-has-queen-elizabeth-been-waiting-for-prince-harry-to-settle-down.html/,How Long Has Queen Elizabeth Been Waiting for Prince Harry to Settle Down? - The Cheat Sheet,This is why the queen wanted Prince Harry to settle down.,https://www.cheatsheet.com/wp-content/uploads/2019/04/Prince-Harry-10-1024x806.jpg,2019-04-26
https://www.foxnews.com/entertainment/taylor-swift-releases-drops-single-me-with-matching-video-featuring-panic-at-the-discos-brendon-urie,Taylor Swift drops single 'Me!' and video featuring Panic! At the Disco's Brendon Urie - Fox News,Taylor Swift released her new single “Me!” featuring Panic! at the Disco’s Brendon Urie along with a fantasy themed music video at midnight Friday morning after much anticipation from fans.,https://static.foxnews.com/foxnews.com/content/uploads/2019/04/AP19114037499011.jpg,2019-04-26
https://www.cnn.com/2019/04/25/entertainment/britney-spears-checks-out-of-facility/index.html,Britney Spears leaves treatment facility - CNN,"Britney Spears has left a facility where she had been receiving treatment for undisclosed mental health issues, a source close to the singer tells CNN.",https://cdn.cnn.com/cnnnext/dam/assets/170207075018-brtiney-super-tease.jpg,2019-04-26
https://www.gamespot.com/articles/captain-americas-ending-ruins-avengers-endgame/1100-6466487/,Captain America's Ending Ruins Avengers: Endgame - GameSpot,Steve Rogers' MCU finale was a terrible choice no matter how you slice it.,https://static.gamespot.com/uploads/screen_kubrick/1582/15828986/3526827-avengersendgame5c9a7b9646625.jpg,2019-04-26
https://www.rollingstone.com/music/music-news/bruce-springsteen-hello-sunshine-video-watch-827594/,Watch Bruce Springsteen’s Scenic Video For New Single ‘Hello Sunshine’ - Rolling Stone,Song was heavily inspired by Sixties/Seventies California pop artists like Glen Campbell and Burt Bacharach,https://www.rollingstone.com/wp-content/uploads/2019/04/9962673bh.jpg,2019-04-26
https://www.foxnews.com/entertainment/people-are-treating-jeopardy-like-game-7-with-james-holzhauer-wsj-columnist,People are treating 'Jeopardy' like 'Game 7' with James Holzhauer: WSJ Columnist - Fox News,"Wall Street Journal sports columnist Jason Gay noted Thursday how popular ""Jeopardy"" had become with star contestant James Holzhauer.",https://static.foxnews.com/foxnews.com/content/uploads/2019/04/ContentBroker_contentid-243c53192e844864882725b32bd8937d.png,2019-04-26
https://www.billboard.com/articles/columns/latin/8508796/ozuna-breaks-record-billboard-latin-music-awards,Ozuna Breaks Record as Top Winner Ever at Billboard Latin Music Awards: See Complete Winners List - Billboard,"The awards show included performances by Rosalia, J Balvin, Bad Bunny, Ozuna & more.",https://www.billboard.com/files/media/ozuna-billboard-latin-music-awards-show-2019-billboard-1548.jpg,2019-04-26
https://pagesix.com/2019/04/25/theres-already-trouble-in-paradise-on-new-james-bond-set/,There's already trouble in paradise on new James Bond set - Page Six,The 25th James Bond film just launched in Jamaica and problems are brewing over the title and plot.,https://nyppagesix.files.wordpress.com/2019/04/james-bond-25-cast-jamaica-film-launch.jpg?quality=90&strip=all&w=1200,2019-04-26
