url,title,description,urlToImage
https://www.cnn.com/2019/04/28/entertainment/arnold-schwarzenegger-son-graduation/index.html,Schwarzenegger congratulates graduating son - CNN,"Arnold Schwarzenegger has been a champion bodybuilder, action movie star, and California's governor. This weekend, he also is a proud papa.",https://cdn.cnn.com/cnnnext/dam/assets/181210182300-arnold-schwarzenegger-1203-super-tease.jpg
https://www.dailymail.co.uk/tvshowbiz/article-6968811/Inside-Idris-Elba-Sabrina-Dhowres-wedding-party-saw-Christian-Louboutin-TWERK.html,Inside Idris Elba and Sabrina Dhowre’s wedding party which saw Christian Louboutin TWERK - Daily Mail,"Newlyweds Idris Elba, 46 and Sabrina Dhowre, 29, let their hair down at their fun-filled wedding reception at the Mandarin Oriental hotel in Morocco on Friday night.",https://i.dailymail.co.uk/1s/2019/04/28/12/12815776-0-image-a-39_1556450411425.jpg
https://www.esquire.com/entertainment/movies/a27288308/avengers-endgame-theories-fans-got-right/,All the 'Avengers: Endgame' Fan Theories That Were Actually Right - Esquire.com,Fans spent a year trying to figure out what would happen after the Infinity War. They nailed it.,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/mrv1340-v027-trl-1176-r-1556311346.jpg?crop=1xw:0.9488448844884488xh;center,top&resize=1200:*"
https://www.polygon.com/game-of-thrones/2019/4/28/18515898/game-of-thrones-what-time-how-to-stream-season-8-episode-3-preview-recap-hbo,"Game of Thrones season 8 episode 3 time, how to stream & what to know - Polygon","Game of Thrones airs at 9 p.m. ET on HBO Go and HBO Now, Hulu, Amazon Prime Video, and more streaming services. Here’s what happened to Jon, Dany, Arya, Tyrion, Bran, and Jaime in season 8, episode 2, “A Knight of the Seven Kingdoms.”",https://cdn.vox-cdn.com/thumbor/JWTW7AnFQSBnpHjLyJqqc2ncmXg=/0x6:1280x676/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/16194831/maxresdefault.jpg
https://www.breakingnews.ie/showbiz/bret-easton-ellis-american-psycho-would-not-be-published-today-920540.html,Bret Easton Ellis: American Psycho would not be published today - BreakingNews.ie,The author said he is still haunted by Patrick Bateman.,"https://www.breakingnews.ie/remote/image.assets.pressassociation.io/v2/image/production/0ecdd78a96aa653a0b0525e70973a61eY29udGVudHNlYXJjaCwxNTU2NTI5NzUy/2.9189752.jpg?crop=0,135,3574,2145&ext=.jpg&width=600&s=bn-920540"
https://www.cheatsheet.com/entertainment/will-prince-william-be-a-better-king-than-prince-charles.html/,Will Prince William Be a Better King Than Prince Charles? - The Cheat Sheet,Is Prince William better fit to be king than Prince Charles?,https://www.cheatsheet.com/wp-content/uploads/2016/05/cs-logo.png
https://www.oregonlive.com/entertainment/2019/04/dear-abby-mom-left-out-of-wedding-festivities-is-told-she-overreacted-and-must-apologize-ahead-of-grandbabys-arrival.html,Dear Abby: Mom left out of wedding festivities is told she overreacted and must apologize ahead of grandbaby's arrival - OregonLive,"Also, high schooler has major crush on a boy who has a girlfriend.",https://www.oregonlive.com/resizer/rq5jTAoKyJ_XeC79pDXMEJgvl-c=/1200x0/arc-anglerfish-arc2-prod-advancelocal.s3.amazonaws.com/public/OWXVYSX3BNAP7PJ5QPK4YBU34U.jpg
https://hollywoodlife.com/2019/04/27/brielle-biermann-lips-selfie-car-photo-instagram/,Brielle Biermann Is Loving Her Gigantic Lips: Shows Them Off In Sexy New Selfie — See Pic - Hollywood Life,Brielle Biermann is loving life and her full lips. The 22-year-old ‘Don’t Be Tardy’ star flaunted her generous pout in a new photo that she shared with fans on April 27.,https://pmchollywoodlife.files.wordpress.com/2019/04/brielle-biermann-loving-her-new-gigantic-lips-ftr.jpg
https://variety.com/2019/politics/news/trump-jussie-smollett-case-a-disgrace-to-our-nation-1203199606/,Trump: Jussie Smollett Case a ‘Disgrace to Our Nation’ - Variety,"During a campaign rally in Green Bay, Wisconsin on Saturday night, Donald Trump called Jussie Smollett a “third-rate actor” whose highly-publicized case was a “disgrace to our Nat…",https://pmcvariety.files.wordpress.com/2018/06/trump-2.jpg?w=700&h=393&crop=1
https://www.vulture.com/2019/04/2019-rock-hall-induction-the-highs-lows-and-whoas.html,"2019 Rock Hall Induction: The Highs, Lows, and Whoas - Vulture","Everything you need to know, from the snubs to the speeches.",https://pixel.nymag.com/imgs/daily/vulture/2019/04/17/17-harry-styles-stevie-nicks.w1200.h630.jpg
