url,title,description,urlToImage,date
https://www.cnet.com/news/bond-25-rami-malek-hints-villain-daniel-craig/,Bond 25: Rami Malek confirms he'll be the villain - CNET,We have our first details about the casting for Daniel Craig's last outing as James Bond.,https://cnet4.cbsistatic.com/img/q5ujiKeyZ_F-hCpJc2FKTPjUbDs=/0x0:750x600/756x567/2019/04/25/6e112215-3510-45be-99f8-96c3565be2f5/d4-6fmhxkaaielg.jpg,2019-04-25
https://www.express.co.uk/entertainment/gaming/1118705/Fortnite-8-50-PATCH-NOTES-update-Avengers-Endgame-LTM-rules-game-mode,"Fortnite 8.50 PATCH NOTES for Avengers Endgame update: Captain America, Iron Man and more - Express","FORTNITE fans can now download update 8.50, as Epic Games releases a lengthy list of patch notes during server downtime.",https://cdn.images.express.co.uk/img/dynamic/143/750x445/1118705.jpg,2019-04-25
https://www.npr.org/2019/04/25/711412924/nearly-27-years-after-hindu-mob-destroyed-a-mosque-the-scars-in-india-remain-dee,"Nearly 27 Years After Hindu Mob Destroyed A Mosque, The Scars In India Remain Deep - NPR","The 16th-century Babri mosque's destruction marked a turning point in Indian politics. Thousands, mostly Muslims, died afterward in riots. The prime minister vows to build a Hindu temple on the site.",https://media.npr.org/assets/img/2019/04/10/ayodhya10-2_wide-81ede5a1ca151d2ad631fba47745b2945c0b4bff.jpg?s=1400,2019-04-25
https://www.cbsnews.com/news/joe-biden-2020-former-vice-president-running-for-president-watch-video-announcement-today-2019-04-25/,Joe Biden 2020: Former vice president Joe Biden says he's running for president in video announcing bid released today – live updates - CBS News,The former vice president joins a crowded field of Democrats hoping to capture the nomination,https://cbsnews1.cbsistatic.com/hub/i/r/2019/04/24/10d7c3be-fa02-49e4-af3b-a0cf57144a4d/thumbnail/1200x630g2/9775778787ad20d15d97898cbc8eb2ee/ap-19108745206128.jpg,2019-04-25
https://www.chicagotribune.com/news/ct-met-aj-freund-crystal-lake-parents-court-20190425-story.html,Bail set at $5 million for parents of Crystal Lake boy AJ Freund - Chicago Tribune,"Bail was set at $5 million Thursday morning for the parents of 5-year-old Andrew “AJ” Freund, who along with his father was charged with murder hours after authorities say they found what they believe is the body of the Crystal Lake boy in a shallow grave nea…",https://www.trbimg.com/img-5cc1c981/turbine/ct-met-aj-freund-crystal-lake-parents-court-20190425,2019-04-25
https://www.foxnews.com/world/sri-lanka-suicide-bombers-families-speak,"Sri Lanka suicide bombers became distant, ‘totally crazy’ in years leading up to Easter massacre, siblings say - Fox News",Sisters of the alleged Sri Lanka suicide bombers revealed Thursday that their siblings – who have been described by officials as “well-educated people” -- became increasingly distant and “totally crazy” in the years leading up to the coordinated Easter Sunday…,https://static.foxnews.com/foxnews.com/content/uploads/2019/04/sri-lanka-suspected-bombers.jpg,2019-04-25
https://weei.radio.com/blogs/alex-reimer/adam-schefter-interview-espn-insider-says-patriots-arent-interested-acquiring-josh,"Adam Schefter tells M&C Patriots aren't interested in trading for Josh Rosen, doesn't foresee them taking QB early in NFL Draft - WEEI","One of the biggest stories surrounding the NFL Draft has been Josh Rosen’s status with the Cardinals. With Arizona rumored to be targeting Kyler Murray with the No. 1 overall pick, it seems only sensible for the Cardinals to explore trading Rosen.",https://radioimg.s3.amazonaws.com/weei/s3fs-public/josh-rosen-mark-j-rebilas.jpg,2019-04-25
https://www.wsj.com/articles/trump-says-he-never-asked-mcgahn-to-fire-mueller-11556196379,Trump Says He Never Asked McGahn to Fire Mueller - The Wall Street Journal,"President Trump on Thursday contradicted a detailed account in Mr. Mueller’s report, tweeting that he never told White House Counsel Don McGahn to fire special counsel Robert Mueller.",https://images.wsj.net/im-69508/social,2019-04-25
https://www.animenewsnetwork.com/news/2019-04-25/nintendo-sees-13.7-percent-increase-in-sales-in-fiscal-year-2019-reveals-sales-data-for-switch-console-games/.146122,"Nintendo Sees 13.7% Increase in Sales in Fiscal Year 2019, Reveals Sales Data for Switch Console/Games - Anime News Network",Company sells 16.95 million Switch consoles in fiscal year for total of 34.74 million units,https://www.animenewsnetwork.com/thumbnails/crop600x315/cms/news/119343/nswitch.jpg,2019-04-25
https://www.cnbc.com/2019/04/25/morgan-stanleys-adam-jonas-tesla-is-going-to-have-to-raise-2point5-billion-in-capital.html,"Tesla needs $2.5 billion in fresh capital, says a top analyst, and it's causing the stock to drop - CNBC","Tesla will soon need to raise billions more in capital, Morgan Stanley said on Thursday.",https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/03/15/105795067-1552622514797muskmodely.1910x1000.jpg,2019-04-25
https://www.nbcnews.com/news/us-news/florida-house-passes-bill-mandating-ex-felons-pay-criminal-fees-n998381,Florida House passes bill mandating ex-felons pay criminal fees before they can vote - NBC News,"Following passage last year of Amendment 4, the Florida House approved legislation Wednesday that mandates ex-felons pay criminal fees before they can vote.",https://media1.s-nbcnews.com/j/newscms/2019_17/2636091/181106-election-mn-1950_ebfe3ece335f913cf0593203de54efb2.nbcnews-fp-1200-630.jpg,2019-04-25
https://www.thestreet.com/markets/altria-falls-after-tobacco-maker-misses-earnings-estimates-14937393,Altria Shares Fall After Tobacco Maker Misses Earnings Estimates - TheStreet.com,The tobacco maker misses expectations in the first quarter on both the top and bottom lines. It reiterates 2019 earnings guidance....MO,http://s.thestreet.com/files/tsc/v2008/photos/contrib/uploads/d3cee6c5-aad4-11e7-a2b5-b16b60a6ea11.png,2019-04-25
https://www.nbcnews.com/news/world/extinction-rebellion-protests-win-political-attention-u-k-n998361,Extinction Rebellion protests win political attention in the U.K. - NBC News,"The 11-day Extinction Rebellion protests calling for action on climate change has raised more than £250,000 and gained the attention of Britain's politicians.",https://media3.s-nbcnews.com/j/newscms/2019_17/2834301/190425-extinction-rebellion-mc-10004_e7ef7d00c811ff834366682bccf5ee13.nbcnews-fp-1200-630.JPG,2019-04-25
https://www.nbcnews.com/news/us-news/parkland-suspect-may-lose-public-defender-over-insurance-inheritance-n998366,Parkland suspect may lose public defender over insurance inheritance - NBC News,"Nikolas Cruz is charged in the Feb. 14, 2018, shooting at Marjory Stoneman Douglas High School.",https://media4.s-nbcnews.com/j/newscms/2019_17/2834416/190425-parkland-school-shooting-memorial-mc-1219_e4461154aa504486b134ac215bfa52ea.nbcnews-fp-1200-630.JPG,2019-04-25
http://www.espn.com/nfl/draft2019/insider/story/_/id/26589272/mel-kiper-final-2019-nfl-mock-draft-my-predictions-picks-1-32,Kiper's final 2019 NFL Mock Draft: My predictions for picks 1-32 - ESPN,"Four quarterbacks, a whole bunch of pass-rushers and one running back. Mel's draft day mock is here.",https://a2.espncdn.com/combiner/i?img=%2Fphoto%2F2019%2F0424%2FKiper_blue_bg_16x9.jpg,2019-04-25
https://www.cnn.com/2019/04/25/politics/catherine-pugh-fbi-baltimore-mayor/index.html,"FBI executing search warrant at Baltimore mayor's home, city hall - CNN","The FBI and criminal investigators from the Internal Revenue Service on Thursday executed court-authorized search warrants at the home of Baltimore Mayor Catherine Pugh and Baltimore City Hall, FBI spokesman Dave Fitz said.",https://cdn.cnn.com/cnnnext/dam/assets/170426180734-catherine-pugh-super-tease.jpg,2019-04-25
https://www.theverge.com/2019/4/25/18515605/verizon-5g-cities-galaxy-s10-5g-preorders,"Verizon names 20 more 5G cities, starts preorders for $1,300 Galaxy S10 5G - The Verge",Verizon said it would deploy 5G in more than 30 cities in 2019. As of today we have 20 more to add to Chicago and Minneapolis. It’s also opening up preorders for the Samsung Galaxy S10 5G handset with a few incentives tossed in.,https://cdn.vox-cdn.com/thumbor/brm2lEIE8-kOyBzfPJpUYwc8VMk=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13882772/jbareham_190213_3183_0160.jpg,2019-04-25
https://www.livescience.com/65300-hawking-black-hole-theory-unlikely.html,One of Stephen Hawking's Most Famous Theories About Black Holes Just Suffered a Huge Blow - Live Science,A groundbreaking search for Hawking's ancient black holes comes back empty-handed.,https://img.purch.com/h/1000/aHR0cDovL3d3dy5saXZlc2NpZW5jZS5jb20vaW1hZ2VzL2kvMDAwLzEwNS8zNTAvb3JpZ2luYWwvSFNDcGljdHVyZTAwLTEwMjR4OTQ4LmpwZw==,2019-04-25
https://hackaday.com/2019/04/25/the-galaxy-fold-or-why-flexible-oled-may-not-yet-be-ready-for-prime-time/,"The Galaxy Fold, Or Why Flexible OLED May Not Yet Be Ready For Prime Time - Hackaday","Some among us may already heard that what should have been Samsung’s fancy new high-end smartphone with a flexible, foldable OLED display has been failing in worrying numbers for the first re…",https://hackaday.com/wp-content/uploads/2019/04/bfarsace_190415_3373_20.jpg,2019-04-25
https://www.cnbc.com/2019/04/25/southwest-airlines-reports-better-than-expected-earnings-revenue.html,"Southwest Airlines first-quarter earnings take a hit from 737 Max groundings, government shutdown - CNBC",Southwest said it lost more than $200 million in revenue during the quarter.,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2019/04/24/105868937-1556110039852gettyimages-1133312508.1910x1000.jpeg,2019-04-25
https://www.theguardian.com/us-news/live/2019/apr/25/trump-biden-news-live-2020-democrats-mueller-latest-updates-us-politics-today,Biden joins 2020 race and vows to fight 'everything Trump embraces' – live - The Guardian,Biden says Americans are’ in a battle for the soul of our nation’ as he announces run for White House in 2020 – follow updates live,https://i.guim.co.uk/img/media/adcd7d6efee7e76ceda3e0785dfb512a1ded7bd6/0_411_6720_4032/master/6720.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctbGl2ZS5wbmc&s=2be703bd58757b05ded321f8124afbc5,2019-04-25
https://www.telegraph.co.uk/business/2019/04/25/markets-latest-news-pound-euro-ftse-100-ftse-100-sinks-shock/,FTSE 100 knocked by Sainsbury's shares slump and South Korea contraction - Telegraph.co.uk,US stocks have drifted further away from Tuesday's record high despite a rally in tech stocks led by Microsoft and Facebook.,https://www.telegraph.co.uk/content/dam/technology/2018/11/28/TELEMMGLPICT000182038376-xlarge_trans_NvBQzQNjv4BqQIv5o13AsRhVtEd5PMZnGaPeV0J_Wg2cA04WXR5mT-c.jpeg,2019-04-25
https://www.bbc.co.uk/news/uk-england-london-48053152,G4S security worker 'stole £1m cash from own van' - BBC News,A man is said to have taken cash from the G4S vehicles after parking it in south-west London.,https://ichef.bbci.co.uk/news/1024/branded_news/13108/production/_106588087_filereuters.jpg,2019-04-25
https://www.screendaily.com/news/rami-malek-confirmed-as-new-cast-unveiled-for-bond-25/5138780.article,Rami Malek confirmed as new cast unveiled for 'Bond 25' | News - Screen International,"Also announced today were Ana De Armas, David Dencik, Dali Benssalah and Lashana Lynch.",https://d1nslcd7m2225b.cloudfront.net/Pictures/2000x2000fit/5/5/2/1301552_ramimalekcwikicommonsdominickd_621668.jpg,2019-04-25
https://www.digitaltveurope.com/2019/04/25/bbc-submits-iplayer-plans-to-ofcom/,BBC submits iPlayer plans to Ofcom - Digital TV Europe,The BBC has submitted its plans to make more box-sets and more content available for longer on its iPlayer service to Ofcom following completion of the public interest test ordered by the regulator.,https://www.digitaltveurope.com/files/2019/04/624.jpg,2019-04-25
https://www.bbc.co.uk/news/uk-48051999,Huawei 5G row: Government 'cannot exclude' criminal investigation - BBC News,A cabinet minister condemns the leaks from a National Security Council meeting about a UK 5G network.,https://ichef.bbci.co.uk/images/ic/1024x576/p077f2qn.jpg,2019-04-25
https://www.dailymail.co.uk/sport/football/article-6959031/Bernardo-Silvas-team-year-spot-no-surprise-one-Man-Citys-shining-lights.html,Bernardo Silva's team of the year spot is no surprise - he has been one of Man City's shining lights - Daily Mail,"JACK GAUGHAN: Members of Manchester City’s staff were scrambling for the team sheet. ‘Who is No 10, who is that little one?’ Wearing the white of Monaco, it was Bernardo Silva.",https://i.dailymail.co.uk/1s/2019/04/25/12/12704158-0-image-a-33_1556191927510.jpg,2019-04-25
https://www.thetimes.co.uk/article/extinction-rebellion-climate-activist-83-arrested-after-climbing-train-w9wgk8svl,"Extinction Rebellion: Climate activist, 83, arrested after climbing train - The Times","A retired parole officer in his eighties was among a number of climate change protesters arrested today after climbing on top of a train in London during the morning rush hour. Phil Kingston, 83, a...",/d/img/dual-masthead-placeholder-16x9-6a9822c61a.png,2019-04-25
http://www.pushsquare.com/news/2019/04/fortnites_avengers_endgame_event_starts_today_on_ps4_adds_limited_time_mode_and_weapons,"Fortnite's Avengers: Endgame Event Starts Today on PS4, Adds Limited Time Mode and Weapons - Push Square",Game update v8.50 detailed,http://images.pushsquare.com/news/2019/04/fortnites_avengers_endgame_event_starts_today_on_ps4_adds_limited_time_mode_and_weapons/large.jpg,2019-04-25
https://www.thesun.co.uk/news/8936603/kids-school-ban-measles-mmr-jab-matthew-hancock/,"Kids could be BANNED from school if they haven’t had MMR jab, health secretary warns - The Sun","It comes as new figures from Unicef show 500,000 British kids are at risk of deadly measles because they haven't had the MMR jab",https://www.thesun.co.uk/wp-content/uploads/2019/04/NINTCHDBPICT000484831589.jpg?strip=all&quality=100&w=1200&h=800&crop=1,2019-04-25
https://www.mirror.co.uk/science/bizarre-crab-googly-eyes-dubbed-14579217,Bizarre crab with GOOGLY eyes dubbed 'platypus of the crab world' - Mirror.co.uk,"Scientists from Yale University have discovered the remains of the new species, which they’ve named Callichimaera perplex",https://i2-prod.mirror.co.uk/incoming/article14579221.ece/ALTERNATES/s1200/198886_web.jpg,2019-04-25
https://www.thesun.co.uk/tvandshowbiz/8935746/love-island-jack-fincham-dani-dyer-pet-dog/,Jack Fincham tells Dani Dyer he’s keeping bulldog puppy Sandy after their split - The Sun,The Love Island winners bought the pooch together in October last year,https://www.thesun.co.uk/wp-content/uploads/2019/04/NINTCHDBPICT000485305720.jpg?strip=all&quality=100&w=1080&h=800&crop=1,2019-04-25
https://www.fool.co.uk/investing/2019/04/25/why-id-still-buy-the-barclays-share-price-after-todays-bad-news/,Why I'd still buy the Barclays share price after today's bad news - Motley Fool UK,"Harvey Jones says Barclays plc (LON: BARC) will get there in the end, but it's taking an awfully long time.",https://1gb82h2px4rr3s7tp94g0nt1-wpengine.netdna-ssl.com/wp-content/uploads/2018/01/SignToAvoid.jpg,2019-04-25
https://www.bbc.co.uk/news/science-environment-48041487,Antarctica: Thousands of emperor penguin chicks wiped out - BBC News,"The second largest emperor penguin colony in Antarctica disappears, satellite images show.",https://ichef.bbci.co.uk/news/1024/branded_news/6B1A/production/_106581472_christopher-walton.jpg,2019-04-25
https://www.echolive.ie/corknews/Cork-told-to-brace-itself-for-Storm-Hannah-0aac883b-dc2e-4d8c-b93e-785d936420b4-ds,Cork told to brace itself for Storm Hannah - Echo Live,"After a week of sunny and clear skies, Met Éireann have now said it’s to drastically change with strong winds and rain to hit Cork on Friday.",http://www.echolive.ie/portalsuite/image/67ee1ea6-8417-4098-bd87-6c0a6e8427c2/weather-rain-umbrella.jpg/mainMediaSize=600x0_type=image_publish=true__image.jpg,2019-04-25
https://www.dailymail.co.uk/health/article-6958387/Girl-5-born-without-left-forearm-fitted-prosthetic.html,"Girl, 5, who was born without a left forearm has been fitted with a prosthetic - Daily Mail","Lottie Wilson-Dale, from Brighton, was born with amniotic band syndrome, when fibrous string-like tissue wraps around a limb, which restricts its blood flow and can cause it to be amputated.",https://i.dailymail.co.uk/1s/2019/04/25/10/12698712-0-image-a-55_1556182880497.jpg,2019-04-25
https://www.techradar.com/news/samsung-galaxy-note-10-looks-set-to-offer-5g,Samsung Galaxy Note 10 looks set to offer 5G - TechRadar,According to Verizon,https://cdn.mos.cms.futurecdn.net/uJyBHQYERBCixZkUvr9FZf-1200-80.jpg,2019-04-25
https://www.eurogamer.net/articles/2019-04-25-super-mario-maker-2-limited-edition-includes-years-switch-online-subscription,Super Mario Maker 2 limited edition includes year's Switch Online subscription - Eurogamer.net,Pre-orders include free stylus.,https://cdn.gamer-network.net/2019/articles/2019-04-25-09-51/super-mario-maker-2-limited-edition-includes-years-switch-online-subscription-1556182277667.jpg,2019-04-25
https://www.itv.com/news/2019-04-25/sir-mo-farah-starts-war-of-words-with-haile-gebrselassie-over-alleged-hotel-theft-ahead-of-london-marathon/,Sir Mo Farah starts war of words with Haile Gebrselassie over alleged hotel theft ahead of London Marathon - ITV News,"Sir Mo Farah is embroiled in an extraordinary war of words with fellow distance star Haile Gebrselassie over a stay in his Ethiopian hotel.

Speaking to newspaper reporters ahead of Sunday&#39;s London Marathon, Farah criticised Gebrselassie over an alleged r…",https://news.images.itv.com/image/file/1840432/img.jpg,2019-04-25
https://www.thetimes.co.uk/article/ross-mcewan-resigns-as-rbs-boss-6vbjz6dfs,Ross McEwan resigns as RBS boss - The Times,"The chief executive of Royal Bank of Scotland is resigning after more than five years in which he returned the state-owned lender to profit, settled a US sub-prime mis-selling claim and weathered...",http://www.thetimes.co.uk/imageserver/image/methode%2Ftimes%2Fprod%2Fweb%2Fbin%2Fe8d20a16-6736-11e9-877f-447086620e98.jpg?crop=3870%2C2177%2C45%2C97,2019-04-25
https://www.tsn.ca/hyman-to-undergo-surgery-for-torn-acl-1.1296153,Hyman to undergo surgery for torn ACL - TSN,"Toronto Maple Leafs forward Zach Hyman will undergo surgery on Monday to repair a torn ACL sustained during the team's first round playoff series against the Boston Bruins, the team announced on Wednesday",https://www.tsn.ca/polopoly_fs/1.1294499!/fileimage/httpImage/image.jpg_gen/derivatives/landscape_620/zach-hyman-and-charlie-mcavoy.jpg,2019-04-25
https://thestarphoenix.com/pmn/news-pmn/gunmen-kill-polio-vaccine-worker-wound-another-in-pakistan/wcm/b6b9b721-f648-48c5-bb87-c54373efd793,"Gunmen kill polio vaccine worker, wound another in Pakistan - Saskatoon StarPhoenix","QUETTA, Pakistan — Pakistani police say gunmen riding on motorcycles opened fire on female polio vaccination workers in the southwestern town of Chaman, killing one and wounding the other.Loc…",https://secure.gravatar.com/blavatar/8ce54c9cf8ae6ac66fb69d3e3ea3ff9a?s=200&ts=1556203909,2019-04-25
https://www.ctvnews.ca/entertainment/daniel-craig-to-star-as-james-bond-for-the-fifth-time-1.4394394,Daniel Craig to star as James Bond for the fifth time - CTV News,"Daniel Craig, whose final outing as 007 was unveiled on Thursday, is the longest-serving James Bond.",https://www.ctvnews.ca/polopoly_fs/1.991227.1527222622!/httpImage/image.jpeg_gen/derivatives/landscape_620/image.jpeg,2019-04-25
https://www.bbc.com/news/world-us-canada-48055273,Catherine Pugh: Federal agents raid Baltimore mayor's home - BBC News,The mayor struck lucrative deals to sell her children's book Healthy Holly to city entities.,https://ichef.bbci.co.uk/news/1024/branded_news/85B5/production/_106592243_gettyimages-970188922.jpg,2019-04-25
https://phys.org/news/2019-04-japan-artificial-crater-asteroid.html,Japan creates first artificial crater on asteroid - Phys.org,"Japanese scientists have succeeded in creating what they called the first-ever artificial crater on an asteroid, a step towards shedding light on how the solar system evolved, the country's space agency said Thursday.",https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/2019/japanshayabu.jpg,2019-04-25
https://techcrunch.com/2019/04/25/switch-has-now-outsold-the-n64/,"The Switch has now outsold the N64, but Nintendo sees growth slowing - TechCrunch","Nintendo’s Switch has now outsold its N64 console on lifetime sales, but prospects for the portable gaming system look mixed for the next year following a conservative sales forecast. Nintendo just announced its end of year financials, and in doing so it reve…",https://techcrunch.com/wp-content/uploads/2017/01/img_6925.jpg?w=600,2019-04-25
https://www.cbc.ca/news/canada/montreal/a-lesson-from-new-jersey-as-quebec-tries-to-persuade-people-to-leave-flood-zones-for-good-1.5109850,A lesson from New Jersey as Quebec tries to persuade people to leave flood zones for good - CBC News,"New Jersey has found a way to encourage hundreds of homeowners to move away from flood zones, but unlike Quebec, the state has no cap on compensation.",https://i.cbc.ca/1.5110032.1556150779!/fileImage/httpImage/image.jpg_gen/derivatives/16x9_620/rigaud-quebec-flood.jpg,2019-04-25
https://kotaku.com/days-gone-the-kotaku-review-1834287975,Days Gone: The Kotaku Review - Kotaku,"It’s worthwhile to think about the number of people around you who are waiting for the world to end. There are people who must do it for a living: government employees who specialize in disaster relief and crisis response, civil engineers, military personnel—…","https://i.kinja-img.com/gawker-media/image/upload/s--xchw9feH--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/zidwsvlelpazppjfhzax.jpg",2019-04-25
https://globalnews.ca/news/5201373/sri-lanka-easter-bombings-father-arrested/,Father of suspected Sri Lanka Easter bombers arrested on suspicion of aiding his sons - Global News,"The father of two of the suspected Easter suicide bombers was arrested on suspicion of aiding his sons on Thursday, according to Sri Lanka's former navy chief, as investigators continued to comb his Colombo mansion for evidence of the attacks that killed 359 …",https://shawglobalnews.files.wordpress.com/2019/04/20970815.jpg?quality=70&strip=all&w=720&h=379&crop=1,2019-04-25
https://www.ctvnews.ca/canada/extremism-on-the-rise-in-alberta-report-says-1.4394266,"Extremism on the rise in Alberta, report says - CTV News","Hate crimes appear to be on the rise in Alberta, with social media fuelling the rise of a number of extremist movements in the province, according to a draft report obtained by CTV News.",https://www.ctvnews.ca/polopoly_fs/1.4394281.1556190229!/httpImage/image.png_gen/derivatives/landscape_620/image.png,2019-04-25
https://menafn.com/1098437717/Bat-and-bird-poo-can-tell-you-a-lot-about-ancient-landscapes-in-Southeast-Asia,Bat and bird poo can tell you a lot about ancient landscapes in Southeast Asia - MENAFN.COM,"(MENAFN - The Conversation) The islands of Sumatra, Borneo and Java were once part of a much larger landmass connected to Asia called Sundaland . <",https://menafn.com/updates/pr/2019-04/25/TC_f813da0d-3image_story.jpeg,2019-04-25
https://globalnews.ca/news/5201294/ontario-government-cancels-tree-planting-program/,Ontario government cancels program aimed at planting 50 million trees - Global News,The Ministry of Natural Resources and Forestry told Forests Ontario the day after the Progressive Conservative government delivered its budget this month that the 50 Million Tree Program was being eliminated.,https://shawglobalnews.files.wordpress.com/2019/04/gettyimages-160019540.jpg?quality=70&strip=all&w=720&h=379&crop=1,2019-04-25
https://www.theglobeandmail.com/business/article-bombardier-slashes-full-year-revenue-forecast-by-1-billion-warns-on/,"Bombardier slashes full-year revenue forecast by $1-billion, warns on lower profit; shares plunge - The Globe and Mail",Plane and train maker cites delays in some large projects that have hit its dominant transportation unit that makes rail cars,https://www.theglobeandmail.com/resizer/i_TxekaDMrh06_fFoPgtzDZOM_M=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/AKDS6A3PQBGMBIPWQ5DONMSCW4.JPG,2019-04-25
https://nationalpost.com/pmn/news-pmn/moon-rocks-to-be-studied-at-university-of-tennessee,Moon rocks to be studied at University of Tennessee - National Post,"KNOXVILLE, Tenn. — A professor at the University of Tennessee in Knoxville will help analyze moon rocks collected decades ago and never before opened.NASA calls the project the Apollo Next Ge…",https://secure.gravatar.com/blavatar/bf69214e83fdd5520e4b5d91ba3b7d64?s=200&ts=1556194091,2019-04-25
https://newsinteractives.cbc.ca/longform/highway-417-death,Death on the highway - CBC.ca,Fabiola Philippe died after her boyfriend dropped her at the side of Highway 417 in the middle of the night. Her family is still seeking answers and is refusing to let her death be forgotten.,https://newsinteractives.cbc.ca/craft-assets/images/social/LRG_DSC03165.JPG,2019-04-25
https://www.theglobeandmail.com/canada/british-columbia/article-wilson-raybould-takes-aim-at-liberals-record-on-reconciliation-at/,Wilson-Raybould takes aim at Liberal record on reconciliation at gathering of First Nations leaders - The Globe and Mail,The former attorney-general and justice minister raised her concerns on Wednesday in a keynote speech to a two-day gathering of B.C. First Nations leaders,https://www.theglobeandmail.com/resizer/cXlOfiy0uQWzWMoZrVV0pRiQ4nQ=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/RFKITNG7DBDZVMI663DZKYXA2I.JPG,2019-04-25
https://nationalpost.com/news/politics/would-the-philippines-declare-war-on-canada-over-a-pile-of-garbage-or-is-it-just-a-symbolic-pissing-contest,"Would the Philippines declare war on Canada over a pile of garbage, or is it just a ’symbolic pissing contest’? - National Post","President Rodrigo Duterte said if the containers are not gone in a week he will dump the trash back on Canadian soil. ‘We’ll declare war against them,’ he warned",https://nationalpostcom.files.wordpress.com/2019/04/philippines-1-1.png,2019-04-25
https://www.foxnews.com/opinion/harry-kazianis-putin-and-kim-jong-un-seek-improved-relations-in-summit,Harry Kazianis: Putin and Kim Jong Un seek improved relations in summit - Fox News,North Korean leader Kim Jong Un and Russian President Vladimir Putin – whose nations are both hurting as a result of U.S. economic sanctions – will hold a summit Thursday in the Russian port city of Vladivostok that may strengthen their trade and cooperation.,https://media2.foxnews.com/BrightCove/694940094001/2019/04/24/694940094001_6029453472001_6029452988001-vs.jpg,2019-04-25
https://www.eurekalert.org/pub_releases/2019-04/rb-hca042519.php,How cortisol affects exposure therapy for anxiety disorders - EurekAlert,"Bochum-based psychologists have studied how the application of the stress hormone cortisol affects exposure therapy for anxiety disorders. The researchers knew from earlier studies that extinction learning, which constitutes the foundation of exposure therapy…",https://www.eurekalert.org/multimedia/pub/web/199272_web.jpg,2019-04-25
https://techcrunch.com/2019/04/25/the-google-assistant-can-now-tell-you-a-story-on-your-phone/,The Google Assistant can now tell you a story on your phone - TechCrunch,"For the last year or so, you could ask the Google Assistant on your Google Home device to read your kids a story. Today, just in time for National Tell a Story Day, Google is bringing this feature to Android and iOS phones, too. It’ll be available in English …",https://techcrunch.com/wp-content/uploads/2019/04/2017-09-06_Wojack_Home_Joplin_00177-1.jpg?w=600,2019-04-25
https://www.nrl.com/news/2019/04/25/croft-pilots-late-field-goal-as-storm-deny-gutsy-warriors/,Brodie Croft sinks late field goal to get Melbourne Storm home - NRL.COM,The Melbourne Storm have manufactured an Anzac Day escape courtesy of a Brodie Croft field goal to defeat the Warriors 13-12  at AAMI Park on Thursday night.,https://www.nrl.com/siteassets/2019/round-7/storm-v-warriors/250419_md_-croft-b_1577.jpg?center=0.507%2C0.468&preset=share,2019-04-25
https://www.smh.com.au/world/asia/scott-morrison-slams-deeply-distressing-restaurant-plan-for-bali-bombing-site-20190425-p51hcs.html,Scott Morrison slams 'deeply distressing' restaurant plan for Bali bombing site - Sydney Morning Herald,The plan to build a restaurant and night club on the 2002 Bali bombing site has drawn strong criticism from Australia's Prime Minister.,"https://static.ffx.io/images/$zoom_0.5519,$multiply_1,$ratio_1.777778,$width_1059,$x_0,$y_0/t_crop_custom/w_800/q_86,f_auto/2c5642f20dca1cfb421484de7f9b5c4a5cd3b689",2019-04-25
