url,title,description,urlToImage,date
https://abc7.com/health/how-can-you-tell-if-youre-protected-against-the-measles/5273190/,How can you tell if you're protected against the measles? - KABC-TV,The measles outbreak in Southern California has raised a lot of questions about what it means to be protected. The criteria is different for children versus adults.,https://cdn.abcotvs.com/dip/images/5271172_042519-wpvi-measles-outbreak-5pm-vid.jpg?w=1600,2019-04-27
https://losangeles.cbslocal.com/2019/04/26/this-adorable-therapy-dog-isnt-a-pooch-at-all/,This Adorable Therapy Dog Isn’t A Pooch At All - CBS Los Angeles,Jennie feels like a dog. She barks and wags her tail.,https://cbsla.files.wordpress.com/2019/04/therapy-dog.jpg?w=1280,2019-04-27
https://whdh.com/news/east-boston-elementary-school-student-tests-positive-for-mumps/,"East Boston elementary school student tests positive for mumps - Boston News, Weather, Sports | WHDH 7News","A third-grader at an East Boston elementary school has tested positive for the mumps, school officials say. Otis Elementary School informed parents via automated phone...",https://sunbeamwhdh.files.wordpress.com/2019/04/150723_breaking_news.jpg?quality=60&strip=color&w=640,2019-04-27
https://www.cnn.com/2019/04/26/health/measles-quarantine-los-angeles/index.html,Measles quarantine on campus: Controversial but effective - CNN,"Los Angeles health officials are using quarantines to keep a measles exposure from becoming a full-fledged outbreak. It's a tool we might see more of, say experts.",https://cdn.cnn.com/cnnnext/dam/assets/190425224938-measles-quarantine-ucla-cal-state-la-vpx-00003828-super-tease.jpg,2019-04-27
https://www.cnn.com/2019/04/26/health/end-of-life-care-uk-gbr-intl-eprise/index.html,'It could be any day now': Why how you die matters - CNN,"The end of life is a process many know little about, but experts say we need to think more about the kind of death we want for ourselves and our loved ones.",https://cdn.cnn.com/cnnnext/dam/assets/190425182532-20192504-why-how-you-die-matters-gfx-super-tease.jpg,2019-04-27
https://www.1011now.com/content/news/Suspected-norovirus-outbreak-at-Lincoln-elementary-school--509134341.html,141 students absent Friday after suspected norovirus outbreak at Lincoln elementary school - 1011now,A possible norovirus outbreak at a Lincoln elementary school forced a ‘significant amount’ of students to miss class on Friday.,https://media.graytvinc.com/images/Norovirus+mgn.jpg,2019-04-27
http://katu.com/news/local/oregon-house-to-vote-on-controversial-vaccine-bill,Oregon House to vote on controversial vaccine bill - KATU,"The Oregon House is set to vote on tougher rules for childhood vaccinations, after a key panel approved the measure Friday over the opposition of hundreds of parents. The Joint Committee on Ways and Means voted 13-7 to make routine childhood vaccinations a co…",http://static-19.sinclairstoryline.com/resources/media/a165b41b-b518-4de1-a48b-3c9bba89b500-large16x9_AP19115714363646.jpg?1556324220997,2019-04-27
https://abcnews.go.com/Politics/trump-shifts-position-vaccinations-urges-parents-shot/story?id=62665258,"Trump shifts position on vaccinations, urges parents to 'get the shot.' - ABC News",President Donald Trump now urges vaccinations after the record high measles outbreak.,https://s.abcnews.com/images/US/measles-vaccination-file-ap-jef-190301_hpMain_2_16x9_992.jpg,2019-04-27
https://www.fox5vegas.com/news/more-flu-deaths-confirmed-in-clark-county/article_fc5013fa-6874-11e9-a7a9-ebf1729c5892.html,3 more flu deaths confirmed in Clark County - FOX5 Las Vegas,"Three more people have died from the influenza virus, according to statistics kept by the Southern Nevada Health District.",https://bloximages.newyork1.vip.townnews.com/fox5vegas.com/content/tncms/assets/v3/editorial/d/24/d24cd200-9a12-5a11-b426-740d80fdf9c4/5cbe6ac8f3bf0.image.jpg?resize=943%2C630,2019-04-27
https://www.channelnewsasia.com/news/health/when-to-bring-newborn-baby-to-hospital-emergency-11483530,Parents bring newborns to A&E for many non-urgent reasons: US study - CNA,"One of the hardest things about being a new parent is figuring out when babies are so sick they need to go to the accident and emergency department (A&E) and when worrisome signs or symptoms might actually be perfectly normal, doctors say.","https://cna-sg-res.cloudinary.com/image/upload/q_auto,f_auto/image/8859952/16x9/991/557/8182a7be735f709246c3196aa66e25f5/DY/china-baby---953506--1-.png",2019-04-27
https://www.accuweather.com/en/weather-news/man-in-florida-contracts-flesh-eating-bacteria-while-fishing-in-gulf-of-mexico/70008121,Florida man contracts flesh-eating bacteria while fishing in Gulf of Mexico - AccuWeather.com,,,2019-04-27
https://www.nytimes.com/2019/04/26/health/ageism-elderly-health.html,Ageism: A ‘Prevalent and Insidious’ Health Threat - The New York Times,The World Health Organization has begun four studies intended to define ageism and identify ways to combat it.,https://static01.nyt.com/images/2019/04/30/science/30SPANAGEISM/merlin_153974229_8ad857a6-30a5-488f-b38a-f46008a6f336-facebookJumbo.jpg,2019-04-27
https://www.abc15.com/news/region-northeast-valley/scottsdale/possible-case-of-tuberculosis-being-investigated-at-scottsdale-hospital,Possible case of TB investigated at Scottsdale hospital - ABC15 Arizona,Health officials are investigating a possible tuberculosis exposure at HonorHealth Scottsdale Shea Medical Center.,https://ewscripps.brightspotcdn.com/dims4/default/bbb1ce1/2147483647/strip/true/crop/640x336+0+72/resize/1200x630!/quality/90/?url=https%3A%2F%2Fmediaassets.abc15.com%2Fphoto%2F2018%2F02%2F27%2FKNXV%20doctor%20medical%20hospital%20health_1519741927429.jpg_79354943_ver1.0_640_480.jpg,2019-04-27
https://www.runnersworld.com/health-injuries/a27125306/sunscreen-faqs/,What Does SPF Stand For? | Sunscreen FAQs - Runner's World,Does higher SPF mean more protection? What’s the difference between chemical and physical sunscreens? We’ve got you covered.,"https://hips.hearstapps.com/hmg-prod.s3.amazonaws.com/images/shelves-of-sunscreen-for-sale-at-publix-in-naples-florida-news-photo-929116642-1555070060.jpg?crop=1xw:0.74963xh;center,top&resize=1200:*",2019-04-27
https://www.nbcnews.com/health/heart-health/fda-expands-blood-pressure-drug-recall-fifth-time-year-n998911,FDA expands blood pressure drug recall for fifth time this year - NBCNews.com,FDA expands blood pressure drug recall for fifth time this year.,https://media4.s-nbcnews.com/j/newscms/2019_04/2055041/170628-healthcare-blood-pressure-se-253p_9fbe0bb1fa35031dd20cb1eef3a3617f.nbcnews-fp-1200-630.jpg,2019-04-27
https://gizmodo.com/how-much-worse-could-this-measles-outbreak-get-1834336787,How Much Worse Could This Measles Outbreak Get? - Gizmodo,"As of this week, there have been 695 cases of measles in the U.S. across more than 20 states this year—the highest annual toll seen since the disease was declared extinguished in the U.S. in 2000, according to the Centers for Disease Control and Prevention. G…","https://i.kinja-img.com/gawker-media/image/upload/s---No4uCps--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ru65ygld1pysoaxhkadz.jpg",2019-04-27
https://www.cnet.com/how-to/2019-measles-outbreak-tracker/,2019 measles outbreak: How to track the spread in the US and other countries - CNET,It hasn't been this bad in nearly 20 years.,https://cnet2.cbsistatic.com/img/InmkRvcktmh9Wu7QKDsKcXkqfls=/756x567/2019/04/26/36c88812-da42-4962-9139-458129dbe66e/screen-shot-2019-04-26-at-10-04-26-am.png,2019-04-27
https://www.huffpost.com/entry/national-superhero-day-exoskeleton-pain_b_5cc33ec2e4b00ce0e3e0a7ba,National Superhero Day Is Coming. Where’s My Supersuit? - HuffPost,"By Karl Zelik  
 I loved the “Thundercats” cartoon as a child, watching cat-like humanoids fighting the forces of evil. Whenever their leader wa...",https://img.huffingtonpost.com/asset/5cc340332300004100947329.png?ops=1910_1000,2019-04-27
https://www.mindbodygreen.com/articles/science-shows-this-unhealthy-thought-pattern-can-lead-to-anxiety-and-mental-illness,Tend To Be Hard On Yourself? Here's A Medical Reason To Chill - mindbodygreen.com,This unhealthy thought pattern might be the root of your anxiety.,"https://mindbodygreen-res.cloudinary.com/image/upload/c_crop,x_0,y_52,w_1500,h_844/c_fill,w_720,h_378,g_auto,q_85,fl_lossy,f_jpg/org/ikvgw1svijuye4bdk.jpg",2019-04-27
https://www.axios.com/congo-health-workers-demand-security-tackle-ebola-64345e4f-87b9-4c4d-8917-ed660d09bf53.html,Violence is preventing health care workers from being able to stop Ebola in Congo - Axios,"""This is a saddening and horrifying situation.""",https://images.axios.com/2bfTv3Y35v4zN90NHQd7A8VwECk=/0x0:1600x900/1920x1080/2019/04/26/1556298927420.png,2019-04-27
https://www.dailyrecord.co.uk/news/uk-world-news/mum-worst-pain-known-medicine-14782651,Mum with 'worst pain in medicine' could be internally decapitated at any time - Scottish Daily Record,Amanda McTaggart suffers from two rare conditions which mean she is in excruciating pain and faces 'internal decapitation' at any time,https://i2-prod.mirror.co.uk/incoming/article14782639.ece/ALTERNATES/s1200/1_THP_CHP_270419SLUG_5945JPG.jpg,2019-04-27
https://www.zimeye.net/2019/04/27/govt-warns-religious-leaders-against-extremism/,Govt Warns Religious Leaders Against Extremism - ZimEye - Zimbabwe News,,https://www.zimeye.net/wp-content/uploads/2018/09/Mapostori-659x439.jpg,2019-04-27
https://physicsworld.com/a/antimicrobial-magnetic-bots-make-short-work-of-biofilms/,Antimicrobial magnetic bots make short work of biofilms - physicsworld.com,"Catalytic devices kill, degrade and remove bacterial colonies on teeth and other surfaces",https://physicsworld.com/wp-content/uploads/2019/04/hwang5HR.jpg,2019-04-27
https://www.thesun.co.uk/news/8920446/man-tongue-tumours-early-cancer-sign/,Man’s tongue is engulfed by tumours – a rare early cancer warning sign - The Sun,The 59-year-old told the doctor he'd had the growths on his tongue for years,https://www.thesun.co.uk/wp-content/uploads/2019/04/NINTCHDBPICT000484852725.jpg?strip=all&quality=100&w=800&h=800&crop=1,2019-04-27
https://www.huffingtonpost.co.uk/entry/older-people-being-groomed-into-predatory-marriage-after-being-preyed-on-by-inheritance-hunters_uk_5cb876ece4b09dc528ceb757,Older People Are Being Groomed Into Predatory Marriage By Inheritance Hunters - HuffPost UK,,,2019-04-27
https://www.bbc.co.uk/news/health-48066362,Cosmetic procedures: Firms warned over 'duty of care' - BBC News,"Too many providers are ""operating as a law unto themselves"", England's top doctor says.",https://ichef.bbci.co.uk/news/1024/branded_news/14CBC/production/_106608158_gettyimages-1134260959.jpg,2019-04-27
